Time,Epoch,Fp1,FP2,F3,Fz,F4,T7,C3,Cz,C4,T8,P3,Pz,P4,PO7,PO8,Oz,Event Id,Event Date,Event Duration
0.251999999,7,0.226454823,22.10767512,-31.45942829,-15.54104944,-23.65172095,0.431664843,-1.930058544,-27.83930462,-7.475783824,19.80322053,-24.70126099,-35.1172982,-15.2768225,-106.7173812,-17.94789452,-45.31926251,,,
0.255999999,8,-9.637084673,19.69634436,-37.5925274,-20.74345711,-35.88229663,-0.228425629,-9.992936727,-34.52723286,-10.84638303,19.90854287,-25.2560864,-38.02664831,-17.36714174,-105.1216107,-16.47366366,-47.00164116,,,
0.259999999,8,-20.97927574,12.98914776,-44.78431817,-26.33123348,-48.55174206,-3.947671714,-17.01388758,-42.78891846,-16.27028904,18.42806618,-25.51686635,-40.8863777,-20.67660097,-103.4168875,-14.37438929,-50.48441561,,,
0.263999999,8,-32.54001047,2.141665987,-53.00574282,-32.58448822,-60.38852398,-11.11705965,-22.76130478,-52.51547004,-24.10802452,14.13010485,-25.92929959,-44.24556642,-25.53700074,-102.2539464,-11.83359995,-55.04335211,,,
0.267999999,8,-43.23144227,-10.56479993,-61.34389202,-39.21523,-69.77680027,-20.51866886,-27.43720578,-62.65106256,-33.52057279,6.910134825,-27.07727547,-48.43295242,-31.65098116,-102.0913071,-9.061386831,-59.73063629,,,
0.271999999,8,-51.5623532,-21.94499616,-68.16240599,-45.51965581,-75.38696857,-29.81368201,-30.9398354,-71.32714545,-42.37229155,-1.569011484,-29.17692921,-53.09758875,-37.8357315,-102.9086716,-6.060709497,-63.47735293,,,
0.275999999,8,-55.80862544,-29.45660884,-71.84905796,-50.6534315,-76.7748876,-36.32375183,-32.52294927,-76.38071348,-48.07277372,-8.37554986,-31.5997869,-57.05476146,-42.15495323,-103.9527382,-2.770007539,-64.88977872,,,
0.279999999,8,-55.42380633,-32.2874762,-71.91810256,-54.11411232,-74.85565099,-38.27203876,-31.43771285,-76.28896593,-49.1250457,-11.18783377,-33.24936448,-58.96861624,-42.94590104,-104.0759475,0.677044724,-62.77888143,,,
0.283999999,8,-52.15716561,-31.4443658,-69.48896849,-56.18836462,-71.74541913,-36.0154746,-28.004649,-71.13624248,-46.12697484,-10.06568347,-33.50967381,-58.40773043,-40.07215929,-102.5439383,3.885060501,-57.31898396,,,
0.287999999,9,-49.20211376,-28.88654269,-66.48744227,-57.7138734,-69.62758543,-31.92564112,-23.86037851,-62.74680138,-41.24047762,-7.328534749,-32.57017844,-56.08804459,-35.05234055,-99.44405361,6.354665254,-50.35312538,,,
0.291999999,9,-48.98317128,-26.38798415,-64.22641233,-59.18656265,-69.33554255,-28.63252582,-20.96415113,-53.68592919,-36.68543318,-5.633025966,-30.79091286,-53.02663609,-29.86558571,-95.32167083,7.737528328,-44.18501822,,,
0.295999999,9,-51.75319056,-24.88727752,-62.74377064,-60.21741083,-69.90415663,-27.31561694,-20.41442814,-46.01960143,-33.71402483,-6.115004636,-28.13137249,-49.69330793,-25.72764781,-90.64380564,8.072001109,-40.09313021,,,
0.299999999,9,-56.07310791,-24.60858695,-61.46397772,-60.01487461,-69.53513703,-27.71980357,-22.28461979,-40.88862161,-32.72323622,-8.138774585,-24.4549897,-46.11734646,-22.94901966,-85.70989235,7.83490563,-38.06546296,,,
0.303999999,9,-60.28623858,-25.64361782,-60.32376557,-58.30568951,-67.0865843,-29.45744735,-26.33523742,-38.83462818,-33.86376235,-10.46786998,-20.17281229,-42.57681547,-21.5669846,-80.86773942,7.663854549,-37.68226324,,,
0.307999999,9,-63.57318905,-28.32442239,-60.1293955,-55.67631453,-62.78558808,-32.82817568,-32.49227218,-40.01166062,-37.258418,-12.51692616,-16.29638859,-39.88626675,-21.74831678,-76.58760951,7.90219793,-38.87630162,,,
0.311999999,9,-66.02924846,-32.94212239,-61.90537693,-53.13870153,-57.75884205,-38.38151146,-40.56625979,-43.95330532,-42.72154384,-14.66719467,-13.89349387,-38.99994778,-23.6171932,-73.34165816,8.378360243,-41.81187841,,,
