bq,Time,P3,C3,F3,Fz,F4,C4,P4,Cz,CM,A1,Fp1,Fp2,T3,T5,O1,others1,others2
0,0.2367,-3554.6,-3635.3,-6515.7,-4359.1,3651.9,4620.3,3647.2,-3976.4,-11151.6,5197.3,-6241.8,2649.5,1108.5,2429.2,4748.2,,
0,0.24,-6800.2,-8954.9,-11029.3,-9154.2,8579.9,9951.6,8631.1,-9122.4,-51183.4,10914.8,-2892.2,7438.1,5822.1,7356.1,10032,,
0,0.2433,-12206.3,-12678.2,-16002.7,-14252.1,11617.5,13012,10396.1,-12303.2,-70538.1,14782.3,-341.6,10998.4,8777,9956.7,12833.6,,
0,0.2467,-14365.6,-11075.8,-16470.7,-14553.1,9716.2,10729.2,7186,-10328.9,-49617.2,12923.1,-1421.7,9761.7,6962.6,7584.1,10339.1,,
3,0.25,-11099.6,-5728.9,-11966.6,-9735.6,4752.5,5362.4,2217.7,-5151.1,-9047.2,7175.2,-5390.3,4942.5,2104.9,2526.2,5017.9,,
0,0.2533,-5644.5,-1956.1,-6983.6,-4585.7,1657.8,2251.1,459,-1919.8,10848.1,3258.7,-8500.7,1330.4,-1022.7,-247.4,2160,,
0,0.2567,-3431.1,-3505.4,-6490.1,-4228.1,3499.4,4483.6,3660.4,-3843.5,-9667.6,5064.9,-7672.3,2510.8,661.8,1981.2,4595.7,,
0,0.26,-6663.9,-8811.6,-10974.3,-9010.5,8419.3,9812.2,8611.1,-8984,-49948.1,10768.6,-3661.3,7285.7,5475.2,6973.3,9870.3,,
0,0.2633,-12115.3,-12557.4,-15963.6,-14151.6,11489,12896,10361.8,-12190.3,-69496.2,14650.7,-501.9,10869.5,8629.6,9751.7,12697,,
1,0.2667,-14342.4,-10984.1,-16494.4,-14509.5,9628.5,10637.1,7186.1,-10243.4,-48386.3,12812.5,-1621,9667.5,6984.5,7541.8,10238.8,,
1,0.27,-11120.6,-5645.6,-12063.8,-9713.7,4677.9,5275.8,2308.5,-5071.6,-7206,7072.2,-6390.7,4863.7,2163.8,2520.9,4940.9,,
0,0.2733,-5663.4,-1854.6,-7120.2,-4536.6,1555.7,2152,665.7,-1822.8,13436.5,3149.1,-10572.5,1233.8,-1064,-356.1,2084.4,,
0,0.2767,-3412,-3375.5,-6610.4,-4131.5,3348.3,4370.2,3947.1,-3721.2,-6612.4,4948,-10336.6,2374.3,473.2,1719.4,4507.9,,
0,0.28,-6600.9,-8666,-11035.4,-8890.6,8233.8,9698.3,8886.1,-8848.8,-46981.5,10656.8,-5986.4,7114.6,5210.3,6634.1,9771.8,,
0,0.2833,-12030.7,-12419.5,-15959.7,-14055.6,11306.9,12796,10524.3,-12063.6,-67099.3,14554.2,-1734.7,10692.3,8417.9,9475,12595.8,,
0,0.2867,-14270.2,-10867.3,-16455.5,-14468,9478.1,10547.7,7189.1,-10137.7,-46622.5,12725.6,-1687.6,9512.5,6909.9,7419.1,10135.1,,
0,0.29,-11083.2,-5542,-12033.5,-9715.3,4554.4,5174.7,2194,-4981.1,-5662.8,6974.4,-5903.5,4737.1,2196.9,2521.9,4823.7,,
0,0.2933,-5657.4,-1745.1,-7127.2,-4537.1,1428.8,2016.2,538.6,-1730.6,15318.6,3023.4,-10353.6,1119.2,-1040.7,-357.5,1945,,
0,0.2967,-3410.3,-3250.2,-6650.3,-4089,3193.1,4199.1,3893.6,-3616.2,-4181.3,4799.8,-10821.3,2252.5,381.9,1599.4,4355.9,,
0,0.3,-6571.2,-8535.8,-11069.7,-8795.9,8057.4,9518.4,8891.9,-8737.5,-44409.7,10512.7,-6944.4,6985.1,5006,6388.4,9633.8,,
0,0.3033,-11959.7,-12308.7,-15929.6,-13934,11145.2,12641.3,10462.4,-11966.2,-65196.3,14440.7,-2495.9,10575.3,8212.5,9214.1,12493.7,,
0,0.3067,-14177.8,-10792.2,-16308,-14354.6,9365.2,10432.6,6903.5,-10071.5,-46008.5,12644.5,-1684.1,9429,6827.6,7277.9,10061.9,,
3,0.31,-11015.2,-5496.2,-11751.7,-9628.2,4489.2,5081.4,1628,-4943.5,-6237.8,6899.8,-5110.9,4684.6,2252.2,2536.7,4741.6,,
0,0.3133,-5658.4,-1700.9,-6749.8,-4469.5,1368.4,1909.9,-193.2,-1694.8,14416.3,2923,-9303.1,1064.3,-979.7,-295.3,1811.1,,
0,0.3167,-3492.4,-3176.4,-6261.9,-4023.2,3079.6,4056.1,3227.2,-3544.3,-4313.5,4662.7,-10179.3,2149.3,267.5,1533.6,4156.9,,
0,0.32,-6701.4,-8417.5,-10759,-8721.2,7860.3,9344.3,8484.5,-8603.8,-43172.6,10358.4,-6989.6,6806.8,4649.8,6103.8,9399,,
0,0.3233,-12076.8,-12156.5,-15735.3,-13852.6,10888.3,12465.2,10328.9,-11777.8,-62898.2,14301.8,-2900.8,10336,7755.2,8807.6,12274.9,,
3,0.3267,-14230,-10637.3,-16190.4,-14273,9118.9,10283.8,6866.4,-9871.4,-43656.3,12539.1,-1774.5,9181,6544.3,6996.2,9896.7,,
0,0.33,-10992.1,-5375.8,-11616.1,-9545.8,4332.7,4970.7,1446.7,-4792.7,-4872.9,6818.8,-4397.3,4491.1,2355.3,2611.7,4630.6,,
0,0.3333,-5593.6,-1641.3,-6510.9,-4378.7,1344.8,1828,-647.5,-1639.6,14349.9,2841.9,-7857.1,966.6,-508.8,182.1,1725.1,,
0,0.3367,-3435.8,-3180.6,-5903.6,-3918.6,3172.4,3986.5,2567.3,-3588.2,-5477.8,4564.5,-8554.3,2146.1,861.3,2228.1,4064.4,,
0,0.34,-6682.3,-8462.6,-10343.9,-8609.1,8003.2,9275.4,7815.2,-8701.8,-44655,10245.7,-5761.6,6857.6,5075.6,6719.9,9288.6,,
0,0.3433,-12087.2,-12202.9,-15357.2,-13748,11002.9,12392.2,9819,-11859.1,-64010.6,14188.3,-2221.1,10385.3,7888.6,9136.1,12155.6,,
0,0.3467,-14238.4,-10648.5,-15908,-14187.4,9156.2,10203.3,6541.5,-9879.5,-44156.1,12432.3,-1305.8,9187.5,6496.6,7035.9,9781.3,,
0,0.35,-10974.4,-5338.3,-11418.6,-9476.8,4293.9,4877.2,1200.3,-4716.5,-4951.7,6712.4,-3668.1,4447.6,2349.3,2531.2,4521,,
