bq,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64
1,0.39672,0.74378,0.34612,0.19956,0.45203,0.27844,0.97201,0.89299,0.58051,1.0858,0.98657,0.61163,2.5928,0.3978,0.4802,1.0658,0.64225,0.78484,1.0513,1.3502,1.0213,1.0977,1.3599,0.87697,0.816,1.1232,1.1469,1.2386,1.0651,1.0047,0.84949,1.3014,1.2744,1.029,1.5014,1.5355,0.7659,1.196,0.47397,1.1901,0.8568,0.8458,0.81749,0.91641,1.0522,1.4312,0.92328,0.97598,0.60493,0.7015,0.73609,0.64381,0.89684,1.2321,1.1806,0.51587,0.37694,0.77098,0.54078,0.48808,0.17603,0.45794,0.088476,0.078296
1,0.42879,0.497,0.21139,0.47249,1.1805,0.23701,0.53741,2.2854,0.35864,1.5704,0.52922,1.1508,2.407,0.77001,0.50393,0.85137,0.52344,0.76658,1.0014,1.1275,0.98451,0.9907,1.3845,0.9091,0.73573,1.1159,1.1317,1.4249,0.95093,0.94382,0.93126,1.1035,1.14,1.0873,1.388,1.3235,0.8218,1.357,0.5208,0.99806,0.80896,0.83509,0.85984,0.71231,1.1673,1.2669,0.93773,0.95787,0.82531,0.74594,0.61123,0.86462,0.54923,1.2092,0.86252,0.83845,0.37326,0.26722,0.41024,0.83804,0.6264,0.30269,0.27951,0.084511
1,0.22551,0.27088,0.24845,0.59006,2.612,0.23771,0.65782,3.6534,0.44052,1.4242,0.49448,1.577,2.3502,0.58001,0.42496,0.8387,0.5907,0.7767,0.94198,1.5213,0.97197,1.1226,1.5065,0.86857,0.85975,1.1398,1.2051,1.2695,0.95048,1.0694,0.85708,1.2489,1.1904,0.9989,1.3096,1.4888,0.90897,1.3105,0.51845,1.0234,0.87496,0.8181,0.74326,0.8069,0.99966,1.4111,1.0369,0.93228,0.87144,0.80848,0.7217,0.67965,0.54046,1.8126,0.78407,0.77204,0.70502,0.26184,0.36658,0.65746,0.35834,0.28713,0.10176,0.065716
1,0.19164,0.71882,0.22509,0.41059,3.5121,0.40999,0.55497,2.9039,0.39824,1.3986,1.4666,1.3863,1.9389,0.46266,0.57539,0.72507,0.38209,0.82478,1.1094,1.429,1.2703,1.0463,1.6057,0.91345,0.94451,1.0932,1.1489,1.347,1.0646,0.86476,0.93813,1.1433,1.3379,1.1942,1.4524,1.2978,0.75339,1.3449,0.53791,1.0651,0.75303,0.78828,0.79474,0.92351,1.1669,1.3092,1.022,0.94344,0.78657,0.7929,0.81929,1.1502,0.69643,0.71894,0.41381,0.55114,0.39458,0.35788,0.50089,0.3928,0.53248,0.32651,0.11062,0.091892
1,0.17632,1.1792,0.35167,0.40865,1.8401,0.338,0.69382,1.4731,0.49635,1.7973,3.9931,1.2853,2.4382,0.43452,0.80734,1.0317,0.49032,0.84558,0.8643,1.425,0.99611,1.1157,1.8485,0.9693,1.1419,1.2048,1.0642,1.2007,1.1166,0.99562,0.90997,1.2562,1.3055,1.3853,1.4634,1.2786,0.72357,1.3061,0.46828,1.19,0.76758,0.77166,0.64026,0.84091,1.1984,1.3277,1.0801,0.87914,0.7018,0.74228,0.70441,1.4334,0.84642,0.63253,0.36868,0.4679,0.33059,0.62012,0.57418,0.26951,0.35594,0.23427,0.10114,0.13312
1,0.18519,0.48899,0.97019,0.17689,0.76286,0.23889,2.2998,0.89128,0.98014,2.4398,4.1575,1.7479,3.5296,0.68117,0.67593,1.2122,0.91014,0.89103,1.0967,1.2549,1.1979,1.051,1.6677,0.74021,0.75408,1.2089,1.015,1.2961,0.97487,0.97244,0.88927,1.0443,1.0488,1.1313,1.6113,1.3722,0.78982,1.2689,0.45007,1.1129,0.92493,0.76882,0.71813,0.88132,1.0595,1.3773,0.89044,0.91349,0.80086,0.66577,0.84529,0.70366,0.50974,0.99896,0.77105,0.43868,0.37463,0.84554,1.0295,0.6945,0.253,0.24707,0.087503,0.12282
1,0.13505,0.26,2.1149,0.1919,0.61043,0.20944,2.0614,1.2289,1.9038,2.8767,5.9152,1.9077,2.7348,0.82011,0.97933,0.7846,0.81442,0.86231,0.93733,1.4763,0.92054,0.98836,1.7013,0.74393,0.8177,1.0589,1.1349,1.3376,1.1367,1.0306,0.97574,1.1255,1.2587,1.3237,1.5127,1.3904,1.056,1.2086,0.43071,1.1565,0.79911,0.98722,0.64867,0.88077,1.0805,1.4115,0.88564,0.91575,0.73422,0.72098,0.6926,0.73391,0.40177,0.4119,0.51955,0.43489,0.95319,0.67484,0.89596,0.21597,0.12264,0.21973,0.066717,0.25868
1,0.24711,0.15011,2.178,0.53339,1.9928,0.27258,0.92365,2.5727,2.5911,3.7444,1.1776,2.0959,1.832,1.0951,0.56577,0.58215,1.1161,0.86519,0.94706,1.3942,0.95551,1.0799,1.4734,0.77088,0.87522,0.98323,1.0041,1.1598,0.98731,1.0398,0.92882,1.2463,1.4742,1.0616,1.4086,1.4635,0.79837,1.1357,0.50888,0.93889,0.83207,0.79176,0.70077,0.87597,1.1839,1.3692,1.0337,0.85016,0.73065,0.75044,0.69034,0.57588,0.58211,0.41902,0.62665,0.73587,1.0227,0.29528,1.1233,0.32239,0.15412,0.28295,0.08383,0.20836
1,1.0631,0.14942,1.9838,1.2606,1.8765,0.19231,1.2478,2.9423,1.5302,3.9767,0.83375,1.7324,1.4487,0.87639,0.46849,0.65233,0.88047,0.85413,0.90049,1.3741,0.9683,1.1256,1.5792,0.89923,0.82316,1.1948,1.1319,1.2535,0.93757,1.0459,0.84489,1.227,1.0897,1.0852,1.4945,1.2318,0.78148,1.1139,0.40858,1.0284,0.7397,0.83153,0.74657,1.0135,1.1814,1.4332,0.92609,0.89228,0.73581,0.72265,0.67363,0.49631,0.42,0.35589,0.53265,0.84295,0.35356,0.29826,1.1068,0.25147,0.18691,0.28431,0.059286,0.0639
1,1.4869,0.24195,1.3841,2.7649,0.65688,0.32839,2.3297,2.2832,1.287,3.594,1.3081,0.81546,1.9324,0.49964,0.82341,0.68105,0.47064,0.73537,0.96285,1.2756,1.0496,1.1176,1.4923,0.89436,0.8509,1.1717,1.0684,1.197,0.95469,0.92037,0.83534,1.2905,1.1273,1.1116,1.3593,1.2355,0.79636,1.1684,0.40044,1.0941,0.79453,0.797,0.84098,0.8357,1.1326,1.4001,0.90239,1.0608,0.6891,0.65437,0.75044,0.57675,0.71676,0.41302,1.0628,0.71826,0.39217,0.2703,0.97069,0.53906,0.16021,0.49279,0.11452,0.046275
